Category,Model,Related Project,Product Manufacturer,Part Description,Part Number,Spec / Finish / Length ,Inventory ID,Live Stock Quantity,UOM
Commscope,,Tool Install Elec,Anixter Distribution Ireland Ltd,Data Whip 6-Port-20MT   ,257121-LG6P-65FT-R1,,257121-LG6P-65FT-R1,11,Ea
Commscope,,Tool Install Elec,Anixter Distribution Ireland Ltd,Data Whip 6-Port-25MT   ,257121-LG6P-85FT-R1,,257121-LG6P-85FT-R1,2,Ea
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 100 mm Tool Install,  CF105100E,,  CF105100E,0,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 150 mm Tool Install,  CF105150E,,  CF105150E,196,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 200 mm Tool Install,  CF105200E,,  CF105200E,81,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 300 mm Tool Install,  CF105300E,,  CF105300E,237,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 400 mm Tool Install,  CF105400E,,  CF105400E,147,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 450 mm Tool Install,  CF105450E,,  CF105450E,81,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 500 mm Tool Install,  CF105500E,,  CF105500E,21,Meters
Containment,,Tool Install Elec,Cleveland Cable (IRE),Basket 600 mm Tool Install,  CF105600E,,  CF105600E,114,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 150 mm SZ Tool Install,571648,,571648,192,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 200 mm SZ Tool Install,571649,,571649,66,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 300 mm SZ Tool Install,571651,,571651,75,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 450 mm SZ Tool Install,571654,,571654,51,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 450 mm Base Build Tool Install ,571654,Base Build,571654Base Build,60,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 600 mm SZ Tool Install,571657,,571657,42,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 750 mm SZ Tool Install,571660,,571660,135,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 900 mm SZ Tool Install,571663,,571663,42,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 100 x 1200 mm SZ Tool Install,571669,,571669,0,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 150 mm SZ Tool Install,571671,,571671,351,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 200 mm SZ Tool Install,571672,,571672,72,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 300 mm SZ Tool Install,571674,,571674,84,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 450 mm SZ Tool Install,571677,,571677,48,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 600 mm SZ Tool Install,571680,,571680,369,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 750 mm SZ Tool Install,571683,,571683,45,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 900 mm SZ Tool Install,571686,,571686,42,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Hercule ladder 150 x 1200 mm SZ Tool Install,571692,,571692,66,Meters
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 100 x 50 mm Tool Install,Cable Tray 100 x 50 mm ,,Cable Tray 100 x 50 mm ,0,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 150 x 25 mm Tool Install,Cable Tray 150 x 25 mm ,,Cable Tray 150 x 25 mm ,28,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 150 x 50 mm Tool Install,Cable Tray 150 x 50 mm ,,Cable Tray 150 x 50 mm ,20,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 300 x 25 mm Tool Install,Cable Tray 300 x 25 mm ,,Cable Tray 300 x 25 mm ,2,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 300 x 50 mm Tool Install,Cable Tray 300 x 50 mm ,,Cable Tray 300 x 50 mm ,0,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 50 x 25 mm Tool Install,Cable Tray 50 x 25 mm ,,Cable Tray 50 x 25 mm ,1,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 50 x 50 mm Tool Install,Cable Tray 50 x 50 mm ,,Cable Tray 50 x 50 mm ,10,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Cable Tray 75 x 25 mm Tool Install,Cable Tray 75 x 25 mm ,,Cable Tray 75 x 25 mm ,30,Ea
